Year,Factor_1,Factor_2,q_1,q_2,q_12,Interaction_type
2000,DEM,SLOPE,0.14340954994991018,0.09928589992693693,0.4310089142270893,nonlinear enhancement
2000,DEM,ASPECT,0.14340954994991018,0.007526298837590595,0.16092232799899198,nonlinear enhancement
2000,DEM,WRB,0.14340954994991018,0.5953171762783143,0.7545534561542796,nonlinear enhancement
2000,DEM,PRE,0.14340954994991018,0.694400301630705,0.8066020221371262,bivariate enhancement
2000,DEM,TEMMAX,0.14340954994991018,0.23666715796414373,0.6627152836923634,nonlinear enhancement
2000,DEM,TEMMIN,0.14340954994991018,0.089970619615789,0.3107816158431995,nonlinear enhancement
2000,DEM,TEM,0.14340954994991018,0.1612188550202558,0.5345163397905615,nonlinear enhancement
2000,DEM,SOIL,0.14340954994991018,0.6740719203025786,0.8024859524771166,bivariate enhancement
2000,DEM,AET,0.14340954994991018,0.7454475639141847,0.8164549715291396,bivariate enhancement
2000,DEM,SWE,0.14340954994991018,0.46728392775519145,0.6447255248109498,nonlinear enhancement
2000,SLOPE,ASPECT,0.09928589992693693,0.007526298837590595,0.10809160534372331,nonlinear enhancement
2000,SLOPE,WRB,0.09928589992693693,0.5953171762783143,0.612505354877238,bivariate enhancement
2000,SLOPE,PRE,0.09928589992693693,0.694400301630705,0.7254264300650819,bivariate enhancement
2000,SLOPE,TEMMAX,0.09928589992693693,0.23666715796414373,0.30999170235783147,bivariate enhancement
2000,SLOPE,TEMMIN,0.09928589992693693,0.089970619615789,0.29695207344209607,nonlinear enhancement
2000,SLOPE,TEM,0.09928589992693693,0.1612188550202558,0.2946492191752901,nonlinear enhancement
2000,SLOPE,SOIL,0.09928589992693693,0.6740719203025786,0.6951801539612966,bivariate enhancement
2000,SLOPE,AET,0.09928589992693693,0.7454475639141847,0.7790065432522059,bivariate enhancement
2000,SLOPE,SWE,0.09928589992693693,0.46728392775519145,0.5007610352563034,bivariate enhancement
2000,ASPECT,WRB,0.007526298837590595,0.5953171762783143,0.6001200080155613,bivariate enhancement
2000,ASPECT,PRE,0.007526298837590595,0.694400301630705,0.6999296239550479,bivariate enhancement
2000,ASPECT,TEMMAX,0.007526298837590595,0.23666715796414373,0.24596172589867726,nonlinear enhancement
2000,ASPECT,TEMMIN,0.007526298837590595,0.089970619615789,0.10865139352687081,nonlinear enhancement
2000,ASPECT,TEM,0.007526298837590595,0.1612188550202558,0.1743554389621379,nonlinear enhancement
