year,variable,weight,entropy,diversity,valid_pixels
2000,AWRSEI,0.5650695304006594,12020.86711393466,-12019.86711393466,506717
2000,HAI_reverse,0.43493046959934056,9252.616247435117,-9251.616247435117,506717
2001,AWRSEI,0.5654704784752153,12036.538277916796,-12035.538277916796,506658
2001,HAI_reverse,0.4345295215247848,9249.575988084303,-9248.575988084303,506658
2002,AWRSEI,0.567421816441408,12078.839270113252,-12077.839270113252,506919
2002,HAI_reverse,0.432578183558592,9208.629353316757,-9207.629353316757,506919
2003,AWRSEI,0.5689928926065948,12667.099490410086,-12666.099490410086,506946
2003,HAI_reverse,0.4310071073934051,9595.458866278394,-9594.458866278394,506946
2004,AWRSEI,0.5690182488807928,12222.228786159496,-12221.228786159496,506974
2004,HAI_reverse,0.4309817511192073,9257.516101983449,-9256.516101983449,506974
2005,AWRSEI,0.5650390545648817,12475.527279467606,-12474.527279467606,506844
2005,HAI_reverse,0.43496094543511843,9603.756013939144,-9602.756013939144,506844
2006,AWRSEI,0.5683474072748904,12279.370966538772,-12278.370966538772,506618
2006,HAI_reverse,0.4316525927251097,9326.265839708047,-9325.265839708047,506618
2007,AWRSEI,0.5664256995899932,11976.248779141506,-11975.248779141506,506940
2007,HAI_reverse,0.43357430041000666,9167.533431322776,-9166.533431322776,506940
2008,AWRSEI,0.5751732511600832,11926.649971830486,-11925.649971830486,507145
2008,HAI_reverse,0.42482674883991683,8809.363558488083,-8808.363558488083,507145
2009,AWRSEI,0.5655713083963428,12126.183864097477,-12125.183864097477,505297
2009,HAI_reverse,0.4344286916036572,9314.640355041221,-9313.640355041221,505297
2010,AWRSEI,0.5667996782421834,12478.38732435788,-12477.38732435788,506979
2010,HAI_reverse,0.4332003217578167,9537.36427665576,-9536.36427665576,506979
2011,AWRSEI,0.5716563924353936,12551.815457246385,-12550.815457246385,507110
2011,HAI_reverse,0.42834360756460643,9405.358355779472,-9404.358355779472,507110
2012,AWRSEI,0.570074833431469,12426.35101375381,-12425.35101375381,507229
2012,HAI_reverse,0.42992516656853097,9371.648888507287,-9370.648888507287,507229
2013,AWRSEI,0.5600834414522416,12633.356774876827,-12632.356774876827,506156
2013,HAI_reverse,0.4399165585477583,9923.062513296305,-9922.062513296305,506156
2014,AWRSEI,0.5652080994095553,12394.303856371544,-12393.303856371544,506811
2014,HAI_reverse,0.43479190059044476,9534.671127387908,-9533.671127387908,506811
2015,AWRSEI,0.565489080885075,12615.160297448727,-12614.160297448727,507043
2015,HAI_reverse,0.4345109191149251,9693.477839057254,-9692.477839057254,507043
2016,AWRSEI,0.5629630384053947,12541.171349949585,-12540.171349949585,507033
2016,HAI_reverse,0.4370369615946053,9736.130036567545,-9735.130036567545,507033
2017,AWRSEI,0.5650702267535348,12222.831934441972,-12221.831934441972,507235
2017,HAI_reverse,0.4349297732464652,9408.040647749014,-9407.040647749014,507235
2018,AWRSEI,0.5656119860524192,12157.85249200303,-12156.85249200303,506719
2018,HAI_reverse,0.4343880139475807,9337.419913430698,-9336.419913430698,506719
2019,AWRSEI,0.5640614036061388,12518.52297888706,-12517.52297888706,506962
2019,HAI_reverse,0.43593859639386134,9675.250645155369,-9674.250645155369,506962
2020,AWRSEI,0.5643594627223452,12530.438569355718,-12529.438569355718,506958
2020,HAI_reverse,0.4356405372776549,9672.728234717131,-9671.728234717131,506958
2021,AWRSEI,0.5652527577310492,12423.585779845396,-12422.585779845396,507143
2021,HAI_reverse,0.43474724226895084,9555.460081390615,-9554.460081390615,507143
2022,AWRSEI,0.5709339392808924,12118.878738540188,-12117.878738540188,507273
2022,HAI_reverse,0.4290660607191075,9107.781252426545,-9106.781252426545,507273
2023,AWRSEI,0.5652165506431729,12505.699332978436,-12504.699332978436,507016
2023,HAI_reverse,0.43478344935682717,9620.032392055185,-9619.032392055185,507016
2024,AWRSEI,0.5609607822954942,12518.56145590587,-12517.56145590587,507208
2024,HAI_reverse,0.4390392177045058,9797.942250900614,-9796.942250900614,507208
